Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,25681.21673,29813.78772,35400.23347,38888.5118,40354.28103,52596.22502,67046.72843,76058.0225,87107.83131,88355.31818,69902.96057,68911.67559,77570.98762,83588.2875,81882.69645,36883.66526,44884.89616,36806.89126,67216.36311,72004.7437
"Macao SAR, China",MAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.34146341,81.72926829,81.72926829,82.02682927,82.17560976,82.27317073,82.47073171,82.47073171,82.72195122,83.02195122,83.22439024,83.27560976,83.52682927,83.67804878,83.92926829,84.12926829,83.72926829,83.0804878,83.1804878,..
"Macao SAR, China",MAC,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,7.8,8.1,8.7,8.7,8.9,9.5,10.6,12.9,11.1,11.8,11,11,10.1,9,8.9,8.1,7.4,6.4,5.5,..
"Macao SAR, China",MAC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,0.912,0.954,1.008,0.979,1.004,1.07,1.15,1.357,1.15,1.224,1.142,1.138,1.021,0.915,0.899,0.841,0.756,0.68,0.586,..
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,473500,498900,520900,540700,535000,537000,549600,567900,591900,621700,642900,652500,648400,658900,672000,685400,682500,677300,678800,687000
"Macao SAR, China",MAC,Population growth (annual %),SP.POP.GROW,4.05140518,5.225376224,4.315240988,3.730651164,-1.059784949,0.373134761,2.31926464,3.275460598,4.139235481,4.911995958,3.353152987,1.482194805,-0.630334934,1.606398806,1.96865626,1.974426892,-0.424008238,-0.764822084,0.221222714,1.200775886
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,5555.5818,6158.407855,7168.930319,8371.821561,7191.432872,8899.345055,10217.10686,10600.57442,10713.64076,11013.31073,9648.679794,9476.534098,9862.548066,10901.802,10920.19176,9957.526267,10903.10375,11754.56783,11386.03956,11874.42737
Malaysia,MYS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.37,74.697,74.961,75.151,75.269,75.376,75.488,75.552,75.464,75.345,75.288,75.371,75.542,75.734,75.9,76.057,73.917,75.444,76.657,..
Malaysia,MYS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.94,17.395,17.091,17.356,17.29,16.906,17.186,17.002,16.761,16.724,16.336,15.789,15.329,14.808,14.233,13.393,12.385,12.394,12.412,..
Malaysia,MYS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.391,2.308,2.252,2.262,2.223,2.144,2.153,2.117,2.07,2.058,2.008,1.942,1.893,1.838,1.777,1.68,1.555,1.55,1.55,..
